month,scenario,power_gw_equivalent,tps_per_watt_index,demand_tokens,capacity_tokens,served_tokens,served_tokens_q
2026-03-01,conservative,1.200,1.133,1823317249910000,1767788625665568,1767788625665568,1.768
2026-04-01,conservative,1.270,1.162,1950949457403700,1917830935162890,1917830935162890,1.918
2026-05-01,conservative,1.339,1.191,2087515919421959,2074338907963113,2074338907963113,2.074
2026-06-01,conservative,1.409,1.221,2233642033781497,2237543794406755,2233642033781497,2.234
2026-07-01,conservative,1.479,1.252,2389996976146202,2407684410747269,2389996976146202,2.390
2026-08-01,conservative,1.548,1.284,2557296764476436,2585007374047587,2557296764476436,2.557
2026-09-01,conservative,1.618,1.317,2736307537989787,2769767344121683,2736307537989787,2.736
2026-10-01,conservative,1.688,1.350,2927849065649072,2962227272727272,2927849065649072,2.928
2026-11-01,conservative,1.758,1.384,3132798500244507,3162658660221790,3132798500244507,3.133
2026-12-01,conservative,1.827,1.419,3352094395261623,3371341819899814,3352094395261623,3.352
2027-01-01,conservative,1.897,1.455,3586741002929937,3588566150236393,3586741002929937,3.587
2027-02-01,conservative,1.967,1.492,3837812873135033,3814630415267188,3814630415267188,3.815
2027-03-01,conservative,2.036,1.530,4106459774254485,4049843033342938,4049843033342938,4.050
2027-04-01,conservative,2.106,1.569,4393911958452300,4294522374502584,4294522374502584,4.295
2027-05-01,conservative,2.176,1.608,4701485795543961,4548997066716393,4548997066716393,4.549
2027-06-01,conservative,2.245,1.649,5030589801232039,4813606311257630,4813606311257630,4.814
2027-07-01,conservative,2.315,1.691,5382731087318282,5088700207468715,5088700207468715,5.089
2027-08-01,conservative,2.385,1.734,5759522263430562,5374640087195419,5374640087195419,5.375
2027-09-01,conservative,2.455,1.777,6162688821870701,5671798859170525,5671798859170525,5.672
2027-10-01,conservative,2.524,1.823,6594077039401651,5980561363636364,5980561363636364,5.981
2027-11-01,conservative,2.594,1.869,7055662432159767,6301324737503969,6301324737503969,6.301
2027-12-01,conservative,2.664,1.916,7549558802410951,6634498790355082,6634498790355082,6.634
2028-01-01,conservative,2.733,1.964,8078027918579718,6980506391602007,6980506391602007,6.981
2028-02-01,conservative,2.803,2.014,8643489872880299,7339783869129279,7339783869129279,7.340
2028-03-01,conservative,2.873,2.065,9248534163981920,7712781419750436,7712781419750436,7.713
2028-04-01,conservative,2.942,2.118,9895931555460654,8099963531822607,8099963531822607,8.100
2028-05-01,conservative,3.012,2.171,10588646764342902,8501809420371488,8501809420371488,8.502
2028-06-01,conservative,3.082,2.226,11329852037846906,8918813475089291,8918813475089291,8.919
2028-07-01,conservative,3.152,2.283,12122941680496190,9351485721578636,9351485721578636,9.351
2028-08-01,conservative,3.221,2.340,12971547598130924,9800352296225906,9800352296225906,9.800
2028-09-01,conservative,3.291,2.400,13879555930000088,10265955935098654,10265955935098654,10.266
2028-10-01,conservative,3.361,2.460,14851124845100098,10748856477272728,10748856477272728,10.749
2028-11-01,conservative,3.430,2.523,15890703584257104,11249631383006500,11249631383006500,11.250
2028-12-01,conservative,3.500,2.587,17003052835155102,11768876267191312,11768876267191312,11.769
2026-03-01,base,1.500,1.247,2093663000000000,2432512021704667,2093663000000000,2.094
2026-04-01,base,1.636,1.304,2303029300000001,2773624296031672,2303029300000001,2.303
2026-05-01,base,1.773,1.363,2533332230000001,3140608602815655,2533332230000001,2.533
2026-06-01,base,1.909,1.424,2786665453000002,3535107102997878,2786665453000002,2.787
2026-07-01,base,2.045,1.489,3065331998300002,3958857561907780,3065331998300002,3.065
2026-08-01,base,2.182,1.556,3371865198130003,4413698637380124,3371865198130003,3.372
2026-09-01,base,2.318,1.626,3709051717943003,4901575450616078,3709051717943003,3.709
2026-10-01,base,2.455,1.700,4079956889737304,5424545454545455,4079956889737304,4.080
2026-11-01,base,2.591,1.777,4487952578711035,5984784615203739,4487952578711035,4.488
2026-12-01,base,2.727,1.857,4936747836582139,6584593922432210,4936747836582139,4.937
2027-01-01,base,2.864,1.941,5430422620240353,7226406247044293,5430422620240353,5.430
2027-02-01,base,3.000,2.029,5973464882264389,7912793562478244,5973464882264389,5.973
2027-03-01,base,3.136,2.121,6570811370490829,8646474549877501,6570811370490829,6.571
